str,en_US,zh_CN,hi_IN
tips.load_failed,"Load Failed",加载失败,"लोड करने में विफल"
tips.error,error,发生错误,"त्रुटि"
tips.error_code,code,错误码,"कोड"
tips.error_msg,message,错误信息,"त्रुटि संदेश"
tips.app_id_sign,"Please set app id/sign by settings",请设置AppID和AppSign,"कृपया सेटिंग्स द्वारा ऐप आईडी/साइन सेट करें"
tips.confirm,"Confirm",确认,"पुष्टि करें"
tips.cancel,"Cancel",取消,"रद्द करें"
tips.ok,"OK",好的,"ठीक है"
tips.start,"Start",开始,"शुरू करें"
tips.join,"Join",加入,"शामिल हों"
tips.clear_cache_success,Cache cleared,缓存已清空,कैश साफ़ किया गया
login.failed,"Login Failed",登录失败,"लॉगिन असफल"
login.sign_in,"SIGN IN",登录,"साइन इन"
login.sign_out,"SIGN Out",退出,"साइन आउट"
login.id,"USER ID",用户ID,"उपयोगकर्ता आईडी"
login.name,"USER NAME",用户名,"उपयोगकर्ता नाम"
login.unknown,Unknown,未定义,"अज्ञात"
login.success,"login success",登录成功,"लॉगिन सफल"
tab.call,Call,呼叫,"कॉल"
tab.live_streaming,Live,直播,"सीधा"
tab.audio_room,Audio,语聊,"ऑडियो"
tab.conference,Conf.,会议,"सम्मेलन"
tab.im,Chat,聊天,"चैट"
tab.swipe_tips,"Swipe to switch scenes",尝试滑动切换场景,"दृश्य स्विच करने के लिए स्वाइप करें"
settings.title,Settings,设置,"सेटिंग्स"
settings.optional,Optional,可选,"वैकल्पिक"
settings.show_splash,Show Splash,展示介绍页,"स्प्लैश दिखाएँ"
settings.use_firestore,"Use Firestore","使用 Firestore","Firestore का उपयोग करें"
settings.common,Common,常规,"सामान्य"
settings.save,Save,保存,"सहेजें"
settings.visible,"Visible","是否可见","क्या यह दिखाई देता है?"
settings.seconds,"seconds","秒","(सेकंड)"
settings.url,URL,URL,URL
settings.support,Support,支持,समर्थन
settings.console_url_tips,Get the AppID and AppSign,获取AppID和AppSign,ऐप आईडी और ऐप साइन प्राप्त करें
settings.copied,Copied to Clipboard,已复制到剪贴板,क्लिपबोर्ड में कॉपी किया गया
settings.copyURL,Copy URL,拷贝链接,लिंक कॉपी करें
settings.live_list_id,"Lives ID",直播列表ID,"लाइव ID"
